game,search_method,total_time,total_num_of_examples,avg_total_time,total_generate_time,total_num_of_generations,avg_generate_time,total_evaluate_time,total_num_of_evaluations,avg_evaluate_time,total_num_of_steps,avg_num_of_steps,num_solved,accuracy,completion_tokens,prompt_tokens,est_cost
game24,bfs,2339.917595386505,15,155.99450635910034,265.9389214515686,150,1.7729261430104573,2073.6188480854034,1043,1.9881292886724866,60,4.0,7,0.4666666666666667,3390651,2365702,39.820765
game24,dfs,2473.661174058914,15,164.91074493726094,177.63833498954773,60,2.9606389164924622,2295.9486265182495,60,38.26581044197083,60,4.0,2,0.13333333333333333,2823947,1896202,32.979974999999996
sudoku,bfs,1841.0705032348633,15,122.73803354899088,475.4614336490631,255,1.8645546417610317,1365.2963645458221,962,1.4192269901723722,95,6.333333333333333,15,1.0,1145762,3901094,21.210354999999996
sudoku,dfs,1257.8470034599304,15,83.8564668973287,231.88457417488098,110,2.108041583408009,1025.9385600090027,110,9.326714181900025,95,6.333333333333333,13,0.8666666666666667,794603,2636883,14.538237500000003
